ts,pressure,flow,grams,t1_in,t1_out,t_final,pot,pulses_batch,pulses_total,encoder,limit_top,limit_bottom,btn1,btn2,btn3,led1,led2,led3,pid1,pid2,pid3,emergency
10228,9.41,12.34,11.21,93.41,93.41,72.41,45.0,0,1022,102,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10248,9.43,12.35,11.22,93.43,93.43,72.43,45.0,0,1024,102,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10269,9.45,12.36,11.23,93.45,93.45,72.45,45.0,0,1026,102,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10290,9.47,12.37,11.24,93.47,93.47,72.47,45.0,0,1029,102,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10310,9.49,12.37,11.25,93.49,93.49,72.49,45.0,0,1031,103,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10331,9.52,12.38,11.26,93.52,92.02,72.52,45.0,0,1033,103,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10351,9.54,12.39,11.27,93.54,92.04,72.54,45.0,0,1035,103,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10372,9.56,12.39,11.28,93.56,92.06,72.56,45.0,0,1037,103,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10393,9.58,12.4,11.29,93.58,92.08,72.58,45.0,0,1039,103,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10413,9.6,12.41,11.3,93.6,92.1,72.6,45.0,0,1041,104,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10434,9.62,12.42,11.31,93.62,92.12,72.62,45.0,0,1043,104,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10454,9.64,12.42,11.32,93.64,92.14,72.64,45.0,0,1045,104,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10475,9.66,12.43,11.33,93.66,92.16,72.66,45.0,0,1047,104,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10496,9.68,12.44,11.34,93.68,92.18,72.68,45.0,0,1049,104,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10516,9.7,12.45,11.35,93.7,92.2,72.7,45.0,0,1051,105,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10537,9.72,12.45,11.36,93.72,92.22,72.72,45.0,0,1053,105,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10557,9.74,12.46,11.37,93.74,92.24,72.74,45.0,0,1055,105,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10578,9.76,12.47,11.38,93.76,92.26,72.76,45.0,0,1057,105,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10598,9.78,12.47,11.39,93.78,92.28,72.78,45.0,0,1059,105,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
